symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NFLX,2015-07-23 00:00:00+00:00,110.1,112.18,109.84,110.91,8306774,110.1,112.18,109.84,110.91,8306774,0.0,1.0
NFLX,2015-07-24 00:00:00+00:00,109.34,111.68,108.9,111.55,8125065,109.34,111.68,108.9,111.55,8125065,0.0,1.0
NFLX,2015-07-27 00:00:00+00:00,106.43,109.86,106.25,107.79,11302624,106.43,109.86,106.25,107.79,11302624,0.0,1.0
NFLX,2015-07-28 00:00:00+00:00,106.9,107.94,103.88,107.29,11155945,106.9,107.94,103.88,107.29,11155945,0.0,1.0
NFLX,2015-07-29 00:00:00+00:00,107.08,107.75,105.4,106.83,6695640,107.08,107.75,105.4,106.83,6695640,0.0,1.0
NFLX,2015-07-30 00:00:00+00:00,111.56,111.9,105.4,106.4,14229196,111.56,111.9,105.4,106.4,14229196,0.0,1.0
NFLX,2015-07-31 00:00:00+00:00,114.31,115.0,111.15,111.95,16349071,114.31,115.0,111.15,111.95,16349071,0.0,1.0
NFLX,2015-08-03 00:00:00+00:00,112.56,114.6,111.78,114.6,10144817,112.56,114.6,111.78,114.6,10144817,0.0,1.0
NFLX,2015-08-04 00:00:00+00:00,121.15,122.79,113.0,113.15,29653323,121.15,122.79,113.0,113.15,29653323,0.0,1.0
NFLX,2015-08-05 00:00:00+00:00,123.71,129.29,122.705,125.62,26831246,123.71,129.29,122.705,125.62,26831246,0.0,1.0
NFLX,2015-08-06 00:00:00+00:00,126.45,128.85,122.04,126.29,24716746,126.45,128.85,122.04,126.29,24716746,0.0,1.0
NFLX,2015-08-07 00:00:00+00:00,123.52,126.6,121.3,126.42,17360669,123.52,126.6,121.3,126.42,17360669,0.0,1.0
NFLX,2015-08-10 00:00:00+00:00,123.03,126.5,121.51,126.09,13424574,123.03,126.5,121.51,126.09,13424574,0.0,1.0
NFLX,2015-08-11 00:00:00+00:00,122.74,123.76,120.0,120.01,11596811,122.74,123.76,120.0,120.01,11596811,0.0,1.0
NFLX,2015-08-12 00:00:00+00:00,120.51,122.45,118.66,121.47,13881612,120.51,122.45,118.66,121.47,13881612,0.0,1.0
NFLX,2015-08-13 00:00:00+00:00,123.73,125.73,119.34,120.99,15284397,123.73,125.73,119.34,120.99,15284397,0.0,1.0
NFLX,2015-08-14 00:00:00+00:00,123.39,125.0,123.0,124.96,8667683,123.39,125.0,123.0,124.96,8667683,0.0,1.0
NFLX,2015-08-17 00:00:00+00:00,125.36,125.7,122.59,123.14,9233848,125.36,125.7,122.59,123.14,9233848,0.0,1.0
NFLX,2015-08-18 00:00:00+00:00,124.05,126.749,123.55,125.26,9381994,124.05,126.749,123.55,125.26,9381994,0.0,1.0
NFLX,2015-08-19 00:00:00+00:00,122.06,123.7,121.5,123.5,10115271,122.06,123.7,121.5,123.5,10115271,0.0,1.0
NFLX,2015-08-20 00:00:00+00:00,112.49,121.45,111.34,119.8,28045318,112.49,121.45,111.34,119.8,28045318,0.0,1.0
NFLX,2015-08-21 00:00:00+00:00,103.96,110.0,102.751,106.2,33228296,103.96,110.0,102.751,106.2,33228296,0.0,1.0
NFLX,2015-08-24 00:00:00+00:00,96.88,109.63,85.5,88.75,59951948,96.88,109.63,85.5,88.75,59951948,0.0,1.0
NFLX,2015-08-25 00:00:00+00:00,101.52,107.88,101.5,107.75,37620719,101.52,107.88,101.5,107.75,37620719,0.0,1.0
NFLX,2015-08-26 00:00:00+00:00,110.13,110.28,102.02,107.15,36164638,110.13,110.28,102.02,107.15,36164638,0.0,1.0
NFLX,2015-08-27 00:00:00+00:00,117.66,118.25,113.02,114.94,37056071,117.66,118.25,113.02,114.94,37056071,0.0,1.0
NFLX,2015-08-28 00:00:00+00:00,117.63,119.35,115.88,116.46,20240237,117.63,119.35,115.88,116.46,20240237,0.0,1.0
NFLX,2015-08-31 00:00:00+00:00,115.03,117.0,113.76,115.24,17005581,115.03,117.0,113.76,115.24,17005581,0.0,1.0
NFLX,2015-09-01 00:00:00+00:00,105.79,111.24,103.82,109.36,35977081,105.79,111.24,103.82,109.36,35977081,0.0,1.0
NFLX,2015-09-02 00:00:00+00:00,105.44,109.5,100.3,109.31,39843254,105.44,109.5,100.3,109.31,39843254,0.0,1.0
NFLX,2015-09-03 00:00:00+00:00,101.06,104.17,100.11,102.69,29546652,101.06,104.17,100.11,102.69,29546652,0.0,1.0
NFLX,2015-09-04 00:00:00+00:00,98.79,99.928,97.34,98.05,24211978,98.79,99.928,97.34,98.05,24211978,0.0,1.0
NFLX,2015-09-08 00:00:00+00:00,94.95,102.5,93.55,102.08,43479650,94.95,102.5,93.55,102.08,43479650,0.0,1.0
NFLX,2015-09-09 00:00:00+00:00,99.18,102.79,95.52,96.51,35524441,99.18,102.79,95.52,96.51,35524441,0.0,1.0
NFLX,2015-09-10 00:00:00+00:00,99.48,100.85,96.78,99.42,21031866,99.48,100.85,96.78,99.42,21031866,0.0,1.0
NFLX,2015-09-11 00:00:00+00:00,97.51,100.85,97.23,98.57,17373920,97.51,100.85,97.23,98.57,17373920,0.0,1.0
